id,name,collaborative,description,owner_id,images
7xlNAn0e6pYjySs67RtkXb,Metal/Deathcore,False,,iski08,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842245c63bc7d43957cbed8b66']
3PlFvHHyrWXNmMzGwarssk,Chill,False,[0] comfort indie&#x2F;pop [TODO],iski08,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842a5f296e258f6a1808e1712b']
6bYdhADwAwPJNXrc2i3nSY,Rock/Psicodelic,False,,iski08,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da840968fe86e43bb081a8533343']
6kHC2f0XGppRYEnUvrriwR,Techno/rave,False,[4],iski08,['https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84fd2466e8afd834178e59d4a0']
7ipInbQwkoOL1clqnEupNU,Vibe,False,[2],iski08,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8441903f03a87596a21431fd84']
1PZXKwbWsMHLSmbwsPTXxM,Punk-Rock,False,[3] potser és punk potser no,iski08,['https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da8456e6ae62d905e2979ce31cc9']
33vXT5ssmlDE8FQjCuzrth,stfu,False,,iski08,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da849898ceec6e0b5ec26f813af5']
1JMsm4dkKoMuPHrZxsM2xu,Instrumental,False,[1] jazz&#x2F;prog-rock&#x2F;math-rock&#x2F;electro-jazz&#x2F;fusion?,iski08,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f2500ec1e2b778ad3d944068']
18vUeZ9BdtMRNV6gI8RnR6,Techno Music 2025 💊,False,updated weekly. best techno songs - hard techno rave - best techno playlist - best techno party - melodic techno hits  - best techno remixes - hypertechno remixes - hyper techno covers,21ifzjxggdajdpc4w6iqxslkq,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da847f9760b81193713c08eddede']
7Dj5Oo9FJYVesuPVIkRQix,REGGAETON ANTIGUO DEL BUENO 🔥 🔞,False,"REGGAETON ANTIGUO DEL BUENO 🔥 🔞 FT. Daddy Yankee, Don Omar, Wisin &amp; Yandel, Calle 13, J Balvin, Bad Bunny, Maluma, Pitbull, Juan Magan, Ozuna, Plan B, Farruko, etc...",31gzuglecsnbotidkkzxet7m5l3e,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84d74e9329bc6926afda7c9134']
2DMUJhem7ZG4SAY91hLHiC,ª-ª,False,[6] Soroll,iski08,['https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84c93b9c2cbe5151f9a1cdfcde']
1Tgz4xTmBEhsLLgYrqa2hS,Back By Dope Demand,False,,joeylens,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da847f12b6a5e4df82efb7206c31']
7teVrRRWL9CqRzTzxfEDTc,Actually Good Breakcore Playlist,False,no sewerslvt and goreshit ,gamwhs6apdt8nzcnqg8up4iad,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8412ed09ff74a6414464c69e74']
5kKCACtOPwkPNG8sUZUUoV,actual hyperpop,False,lots of playlists have stuff thats not even slightly hyperpop so i made my own with real hyperpop. ~~ i started this playlist in june 2022 and it is done as of april 2024. the second part of this playlist is in the making,trsackmv36g3vq7xhcymkwvtv,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84c41ad0093892a4f3c55dd444']
2ERHyXAxDvgoVx7yNi9hgc,"leftists, stoners, and bisexual women ",False,"the pandering mix of indie, soft rock, and underground hiphop",woytho2kmp9sn682tht1fziul,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b9d2b60d3a69888731a990d5']
0iJEh2BsvSw8V3lDTkiUK7,Psytrance 2025 🌀 Psy Trance - Goatrance,False,psytrance 2025 - psychedelic electronic - best psy trance 2025 - trance music 2025 - best acid music 2025 - mushroom music - goatrance - goa trance - ozora festival - kantara psy trance,revealedrec,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842f49a01b987e8f6268c1df1b']
5cQFRubPngoWvJ96rd1ENp,radiohead saddest songs,False,ah porra,gabriela.stom,['https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84080faa1762bbc172de71814a']
